data,category_type
https://www.trustpilot.com/categories/appliance_store,Online Stores
https://www.trustpilot.com/categories/electrical_supply_store,Online Stores
https://www.trustpilot.com/categories/lawn_mower_store,Online Stores
https://www.trustpilot.com/categories/safety_and_work_wear_store,Online Stores
https://www.trustpilot.com/categories/hardware_store,Online Stores
https://www.trustpilot.com/categories/store_equipment_supplier,Online Stores
https://www.trustpilot.com/categories/electronics_wholesaler,Online Stores
https://www.trustpilot.com/categories/tool_repair_shop,Online Stores
https://www.trustpilot.com/categories/construction_machinery_and_equipment_store,Online Stores
https://www.trustpilot.com/categories/electronic_spare_parts_and_component_store,Online Stores
https://www.trustpilot.com/categories/trailer_supply_store,Online Stores
https://www.trustpilot.com/categories/truck_accessories_store,Online Stores
https://www.trustpilot.com/categories/landscaping_supply_store,Online Stores
https://www.trustpilot.com/categories/roofing_supply_store,Online Stores
https://www.trustpilot.com/categories/rv_supply_store,Online Stores
https://www.trustpilot.com/categories/tire_shop,Online Stores
https://www.trustpilot.com/categories/building_materials_store,Online Stores
https://www.trustpilot.com/categories/used_auto_parts_store,Online Stores
https://www.trustpilot.com/categories/masonry_supply_store,Online Stores
https://www.trustpilot.com/categories/surgical_supply_store,Online Stores
https://www.trustpilot.com/categories/wheelchair_store,Online Stores
https://www.trustpilot.com/categories/dental_supply_store,Online Stores
https://www.trustpilot.com/categories/toiletries_store,Online Stores
https://www.trustpilot.com/categories/jewelry_buyer,Online Stores
https://www.trustpilot.com/categories/vaporizer_store,Online Stores
https://www.trustpilot.com/categories/outlet_store,Online Stores
https://www.trustpilot.com/categories/hat_shop,Online Stores
https://www.trustpilot.com/categories/outdoor_clothing_and_equipment_shop,Online Stores
https://www.trustpilot.com/categories/camping_store,Online Stores
https://www.trustpilot.com/categories/jewelry_repair_service,Online Stores
https://www.trustpilot.com/categories/jewelry_engraver,Online Stores
https://www.trustpilot.com/categories/shoe_store,Online Stores
https://www.trustpilot.com/categories/sunglasses_store,Online Stores
https://www.trustpilot.com/categories/sewing_shop,Online Stores
https://www.trustpilot.com/categories/perfume_store,Online Stores
https://www.trustpilot.com/categories/bag_shop,Online Stores
https://www.trustpilot.com/categories/luggage_store,Online Stores
https://www.trustpilot.com/categories/t_shirt_store,Online Stores
https://www.trustpilot.com/categories/sportswear_store,Online Stores
https://www.trustpilot.com/categories/army_and_navy_store,Online Stores
https://www.trustpilot.com/categories/electronics_company,Online Stores
https://www.trustpilot.com/categories/ski_store,Online Stores
https://www.trustpilot.com/categories/snowboard_shop,Online Stores
https://www.trustpilot.com/categories/screen_printing_shop,Online Stores
https://www.trustpilot.com/categories/computer_store,Online Stores
https://www.trustpilot.com/categories/cell_phone_store,Online Stores
https://www.trustpilot.com/categories/internet_shop,Online Stores
https://www.trustpilot.com/categories/running_store,Online Stores
https://www.trustpilot.com/categories/tennis_store,Online Stores
https://www.trustpilot.com/categories/yarn_store,Online Stores
https://www.trustpilot.com/categories/outdoor_sports_store,Online Stores
https://www.trustpilot.com/categories/hunting_store,Online Stores
https://www.trustpilot.com/categories/sailing_store,Online Stores
https://www.trustpilot.com/categories/canoe_and_kayak_store,Online Stores
https://www.trustpilot.com/categories/surf_shop,Online Stores
https://www.trustpilot.com/categories/windsurfing_store,Online Stores
https://www.trustpilot.com/categories/boot_store,Online Stores
https://www.trustpilot.com/categories/work_clothes_store,Online Stores
https://www.trustpilot.com/categories/uniform_store,Online Stores
https://www.trustpilot.com/categories/haute_couture_fashion_house,Online Stores
https://www.trustpilot.com/categories/dress_shop,Online Stores
https://www.trustpilot.com/categories/wig_shop,Online Stores
https://www.trustpilot.com/categories/baby_clothing_store,Online Stores
https://www.trustpilot.com/categories/vintage_clothing_store,Online Stores
https://www.trustpilot.com/categories/jewelry_appraiser,Online Stores
https://www.trustpilot.com/categories/leather_goods_store,Online Stores
https://www.trustpilot.com/categories/barber_supply_store,Online Stores
https://www.trustpilot.com/categories/toy_store,Online Stores
https://www.trustpilot.com/categories/dessert_shop,Online Stores
https://www.trustpilot.com/categories/outerwear_store,Online Stores
https://www.trustpilot.com/categories/winterwear_store,Online Stores
https://www.trustpilot.com/categories/underwear_store,Online Stores
https://www.trustpilot.com/categories/swimwear_store,Online Stores
https://www.trustpilot.com/categories/organic_drug_store,Online Stores
https://www.trustpilot.com/categories/lingerie_store,Online Stores
https://www.trustpilot.com/categories/beach_clothing_store,Online Stores
https://www.trustpilot.com/categories/beauty_supply_store,Online Stores
https://www.trustpilot.com/categories/linens_store,Online Stores
https://www.trustpilot.com/categories/aeromodel_shop,Online Stores
https://www.trustpilot.com/categories/christmas_store,Online Stores
https://www.trustpilot.com/categories/seasonal_goods_store,Online Stores
https://www.trustpilot.com/categories/sex_toy_store,Online Stores
https://www.trustpilot.com/categories/erotic_clothing_store,Online Stores
https://www.trustpilot.com/categories/jewelry_exporter,Online Stores
https://www.trustpilot.com/categories/gift_basket_store,Online Stores
https://www.trustpilot.com/categories/shoe_repair_shop,Online Stores
https://www.trustpilot.com/categories/gun_shop,Online Stores
https://www.trustpilot.com/categories/hunting_and_fishing_store,Online Stores
https://www.trustpilot.com/categories/archery_store,Online Stores
https://www.trustpilot.com/categories/golf_shop,Online Stores
https://www.trustpilot.com/categories/educational_supply_store,Online Stores
https://www.trustpilot.com/categories/surplus_store,Online Stores
https://www.trustpilot.com/categories/belt_shop,Online Stores
https://www.trustpilot.com/categories/youth_clothing_store,Online Stores
https://www.trustpilot.com/categories/streetwear_store,Online Stores
